Institution Name,City,State,ZIP Code,Cluster,In-State Tuition,Out-of-State Tuition,Total Cost ($),% Receiving Pell Grants,% Receiving Federal Loans,Graduation Rate (4-Year),3-Year Default Rate,Latitude,Longitude
GateWay Community College,Phoenix,AZ,85034,"Middle-Tier, Mixed-Aid Institutions",2358.0,8958.0,18316.0,0.2862,0.1228,0.1955,0.0,33.43465,-112.01989
Northern Arizona University,Flagstaff,AZ,86011,"Middle-Tier, Mixed-Aid Institutions",12652.0,28900.0,29495.0,0.2983,0.331,0.5686,0.0,35.18953,-111.65469
Prescott College,Prescott,AZ,86301,"High-Risk, High-Aid Institutions",35685.0,35685.0,47228.0,0.4728,0.5367,0.3594,0.0,34.59452,-112.42454
Rio Salado College,Tempe,AZ,85281,"Middle-Tier, Mixed-Aid Institutions",2358.0,8958.0,13740.0,0.073,0.0446,0.039,0.0,33.42805,-111.93157
Arizona Christian University,Glendale,AZ,85306,"High-Risk, High-Aid Institutions",34697.0,34697.0,50950.0,0.3318,0.6959,0.4145,0.0,33.62333,-112.17569
Yavapai College,Prescott,AZ,86301,"Middle-Tier, Mixed-Aid Institutions",2838.0,9344.0,12642.0,0.1949,0.0463,0.3213,0.0,34.59452,-112.42454
University of Arkansas at Little Rock,Little Rock,AR,72204,"Middle-Tier, Mixed-Aid Institutions",8455.0,19210.0,21013.0,0.4105,0.3765,0.4142,0.0,34.71739,-92.3582
Arkansas Baptist College,Little Rock,AR,72202,"Middle-Tier, Mixed-Aid Institutions",8760.0,8760.0,22626.0,0.4597,0.4173,0.0798,0.0,34.74626,-92.27016
Lyon College,Batesville,AR,72501,"High-Risk, High-Aid Institutions",31000.0,31000.0,44943.0,0.3596,0.6121,0.5591,0.0,35.79167,-91.65399
University of Arkansas,Fayetteville,AR,72701,"Middle-Tier, Mixed-Aid Institutions",9748.0,28772.0,26161.0,0.173,0.3405,0.6997,0.0,35.9873,-94.08179
University of Arkansas at Pine Bluff,Pine Bluff,AR,71601,"High-Risk, High-Aid Institutions",9019.0,17029.0,20907.0,0.6687,0.5852,0.3968,0.0,34.17409,-91.89811
Arkansas State University,Jonesboro,AR,72401,"Middle-Tier, Mixed-Aid Institutions",7754.0,13826.0,22823.0,0.3679,0.4234,0.551,0.0,35.86835,-90.66193
Arkansas Tech University,Russellville,AR,72801,"Middle-Tier, Mixed-Aid Institutions",8508.0,14502.0,21536.0,0.3375,0.2807,0.4866,0.0,35.28057,-93.14161
University of Arkansas at Monticello,Monticello,AR,71656,"Middle-Tier, Mixed-Aid Institutions",8868.0,14718.0,20741.0,0.4938,0.4291,0.4327,0.0,,
University of Central Arkansas,Conway,AR,72035,"Middle-Tier, Mixed-Aid Institutions",10118.0,17258.0,24265.0,0.3734,0.4169,0.5335,0.0,35.07902,-92.45829
Central Baptist College,Conway,AR,72034,"High-Risk, High-Aid Institutions",19680.0,19680.0,27468.0,0.422,0.4947,0.3529,0.0,35.05405,-92.47945
Crowley's Ridge College,Paragould,AR,72450,"High-Risk, High-Aid Institutions",16440.0,16440.0,25817.0,0.48,0.645,0.2609,0.0,36.0784,-90.51695
Harding University,Searcy,AR,72149,"Elite, Low-Aid Institutions",24888.0,24888.0,36385.0,0.1922,0.3951,0.7094,0.0,,
Henderson State University,Arkadelphia,AR,71999,"High-Risk, High-Aid Institutions",7885.0,9882.0,25946.0,0.477,0.4466,0.3805,0.0,34.12732,-93.05941
Hendrix College,Conway,AR,72032,"Elite, Low-Aid Institutions",36650.0,36650.0,52396.0,0.2341,0.4479,0.6923,0.0,35.07393,-92.36451
John Brown University,Siloam Springs,AR,72761,"Elite, Low-Aid Institutions",30832.0,30832.0,43260.0,0.2138,0.3615,0.6677,0.0,36.17074,-94.45778
Ouachita Baptist University,Arkadelphia,AR,71998,"Elite, Low-Aid Institutions",32480.0,32480.0,45132.0,0.226,0.485,0.703,0.0,34.12609,-93.05275
University of the Ozarks,Clarksville,AR,72830,"Middle-Tier, Mixed-Aid Institutions",25950.0,25950.0,35391.0,0.3597,0.4349,0.5176,0.0,35.51685,-93.50859
