Institution Name,City,State,ZIP Code,Cluster,In-State Tuition,Out-of-State Tuition,Total Cost ($),% Receiving Pell Grants,% Receiving Federal Loans,Graduation Rate (4-Year),3-Year Default Rate,Latitude,Longitude
University of Indianapolis,Indianapolis,IN,46227,"Elite, Low-Aid Institutions",36136.0,36136.0,48674.0,0.3596,0.4735,0.5581,0.0,39.67607,-86.13145
Indiana Institute of Technology,Fort Wayne,IN,46803,"High-Risk, High-Aid Institutions",30446.0,30446.0,43490.0,0.3383,0.7698,0.3139,0.0,41.06972,-85.08532
University of Southern Indiana,Evansville,IN,47712,"Middle-Tier, Mixed-Aid Institutions",10136.0,22573.0,20749.0,0.2228,0.2877,0.5195,0.0,37.92869,-87.65951
Indiana State University,Terre Haute,IN,47809,"High-Risk, High-Aid Institutions",9992.0,21734.0,23475.0,0.3905,0.5118,0.4107,0.0,39.47136,-87.40986
Indiana University-Kokomo,Kokomo,IN,46902,"Middle-Tier, Mixed-Aid Institutions",8179.0,22043.0,13351.0,0.3469,0.3331,0.4475,0.0,40.43743,-86.09111
Indiana University-South Bend,South Bend,IN,46615,"Middle-Tier, Mixed-Aid Institutions",8179.0,22043.0,15984.0,0.4117,0.365,0.3574,0.0,41.67494,-86.21151
Indiana University-Bloomington,Bloomington,IN,47405,"Elite, Low-Aid Institutions",11790.0,40482.0,27361.0,0.1669,0.2748,0.8117,0.0,39.16761,-86.5211
Indiana University-Northwest,Gary,IN,46408,"Middle-Tier, Mixed-Aid Institutions",8179.0,22043.0,13371.0,0.4255,0.3469,0.3685,0.0,41.54468,-87.36941
Indiana University-Southeast,New Albany,IN,47150,"Middle-Tier, Mixed-Aid Institutions",8179.0,22043.0,15313.0,0.3381,0.3189,0.3341,0.0,38.28831,-85.84775
Indiana University-East,Richmond,IN,47374,"Middle-Tier, Mixed-Aid Institutions",8179.0,22043.0,16756.0,0.3378,0.3496,0.4536,0.0,39.83376,-84.88997
Manchester University,North Manchester,IN,46962,"High-Risk, High-Aid Institutions",37090.0,37090.0,48321.0,0.4374,0.9172,0.4484,0.0,40.98774,-85.76675
Marian University,Indianapolis,IN,46222,"Elite, Low-Aid Institutions",39100.0,39100.0,52691.0,0.2305,0.6141,0.6095,0.0,39.79088,-86.21477
Marian University,Indianapolis,IN,46222,"High-Risk, High-Aid Institutions",39100.0,39100.0,52691.0,0.2305,0.6141,0.6095,0.0,39.79088,-86.21477
Indiana Wesleyan University-Marion,Marion,IN,46953,"Elite, Low-Aid Institutions",31168.0,31168.0,42951.0,0.2549,0.7182,0.6633,0.0,40.51928,-85.643
Martin University,Indianapolis,IN,46218,"High-Risk, High-Aid Institutions",12830.0,12830.0,25074.0,0.6554,0.6419,0.3333,0.0,39.80713,-86.09958
Mid-America College of Funeral Service,Jeffersonville,IN,47130,"High-Risk, High-Aid Institutions",19800.0,19800.0,30379.0,0.559,0.7612,0.5574,0.0,38.33528,-85.69689
University of Notre Dame,Notre Dame,IN,46556,"Elite, Low-Aid Institutions",62693.0,62693.0,80211.0,0.1247,0.2566,0.9683,0.0,41.70198,-86.24513
Oakland City University,Oakland City,IN,47660,"Elite, Low-Aid Institutions",27150.0,27150.0,39307.0,0.3185,0.3471,0.7,0.0,38.29712,-87.33191
Rose-Hulman Institute of Technology,Terre Haute,IN,47803,"Elite, Low-Aid Institutions",56674.0,56674.0,74226.0,0.1171,0.4094,0.8169,0.0,39.46433,-87.30855
University of Saint Francis-Fort Wayne,Fort Wayne,IN,46808,"High-Risk, High-Aid Institutions",35420.0,35420.0,45228.0,0.427,0.6263,0.6067,0.0,41.09887,-85.17619
Saint Mary-of-the-Woods College,Saint Mary of the Woods,IN,47876,"High-Risk, High-Aid Institutions",33490.0,33490.0,47143.0,0.5055,0.6687,0.5227,0.0,39.50996,-87.46113
Saint Mary's College,Notre Dame,IN,46556,"Elite, Low-Aid Institutions",51430.0,51430.0,65706.0,0.239,0.5917,0.7652,0.0,41.70198,-86.24513
Taylor University,Upland,IN,46989,"Elite, Low-Aid Institutions",39104.0,39104.0,51879.0,0.1312,0.3259,0.7656,0.0,40.45056,-85.48115
Trine University,Angola,IN,46703,"Elite, Low-Aid Institutions",35600.0,35600.0,50004.0,0.1555,0.4082,0.6761,0.0,41.65305,-85.00976
Valparaiso University,Valparaiso,IN,46383,"Elite, Low-Aid Institutions",46588.0,46588.0,57393.0,0.2593,0.5266,0.6704,0.0,41.45838,-87.00156
Vincennes University,Vincennes,IN,47591,"Middle-Tier, Mixed-Aid Institutions",6886.0,16289.0,19446.0,0.0935,0.0887,0.3473,0.0,38.62136,-87.50594
Wabash College,Crawfordsville,IN,47933,"Elite, Low-Aid Institutions",49125.0,49125.0,62750.0,0.2251,0.5988,0.7706,0.0,40.03728,-86.90234
Briar Cliff University,Sioux City,IA,51104,"Elite, Low-Aid Institutions",35534.0,35534.0,49693.0,0.295,0.5499,0.4937,0.0,42.53518,-96.40389
Buena Vista University,Storm Lake,IA,50588,"High-Risk, High-Aid Institutions",40190.0,40190.0,52490.0,0.4254,0.6879,0.4729,0.0,42.65777,-95.16391
Central College,Pella,IA,50219,"Elite, Low-Aid Institutions",20988.0,20988.0,35177.0,0.2139,0.6553,0.6916,0.0,41.42243,-92.90132
Clarke University,Dubuque,IA,52001,"High-Risk, High-Aid Institutions",39600.0,39600.0,52899.0,0.3592,0.7185,0.5494,0.0,42.54819,-90.69348
Coe College,Cedar Rapids,IA,52402,"Elite, Low-Aid Institutions",52576.0,52576.0,64682.0,0.3568,0.7255,0.59,0.0,42.02272,-91.66001
Cornell College,Mount Vernon,IA,52314,"Elite, Low-Aid Institutions",50634.0,50634.0,64336.0,0.2896,0.6354,0.7167,0.0,41.93439,-91.44985
Dordt University,Sioux Center,IA,51250,"Elite, Low-Aid Institutions",35960.0,35960.0,49722.0,0.1827,0.4321,0.6533,0.0,43.08437,-96.21232
Drake University,Des Moines,IA,50311,"Elite, Low-Aid Institutions",49944.0,49944.0,62407.0,0.2095,0.4709,0.7731,0.0,41.601,-93.67335
University of Dubuque,Dubuque,IA,52001,"High-Risk, High-Aid Institutions",40065.0,40065.0,51060.0,0.4037,0.7022,0.4105,0.0,42.54819,-90.69348
Emmaus Bible College,Dubuque,IA,52001,"Middle-Tier, Mixed-Aid Institutions",20000.0,20000.0,30198.0,0.4029,0.2524,0.8167,0.0,42.54819,-90.69348
Faith Baptist Bible College and Theological Seminary,Ankeny,IA,50023,"Middle-Tier, Mixed-Aid Institutions",19530.0,19530.0,30354.0,0.374,0.2573,0.6105,0.0,41.72768,-93.63412
Graceland University-Lamoni,Lamoni,IA,50140,"High-Risk, High-Aid Institutions",33220.0,33220.0,46850.0,0.4516,0.7331,0.3834,0.0,40.63753,-93.99198
Grand View University,Des Moines,IA,50316,"High-Risk, High-Aid Institutions",33450.0,33450.0,46188.0,0.3811,0.6889,0.5579,0.0,41.60877,-93.59775
Grinnell College,Grinnell,IA,50112,"Elite, Low-Aid Institutions",64862.0,64862.0,79228.0,0.1688,0.116,0.8747,0.0,41.7319,-92.71591
Orion Technical College,Davenport,IA,52807,"High-Risk, High-Aid Institutions",15600.0,15600.0,26127.0,0.5733,0.6533,0.8049,0.0,41.61061,-90.51634
Iowa State University,Ames,IA,50011,"Elite, Low-Aid Institutions",10497.0,27683.0,23309.0,0.1846,0.4591,0.7547,0.0,,
University of Iowa,Iowa City,IA,52242,"Elite, Low-Aid Institutions",10964.0,32927.0,26883.0,0.1775,0.4168,0.7306,0.0,41.66195,-91.54317
Loras College,Dubuque,IA,52004,"Elite, Low-Aid Institutions",38298.0,38298.0,48380.0,0.2527,0.5932,0.6985,0.0,,
Luther College,Decorah,IA,52101,"Elite, Low-Aid Institutions",50320.0,50320.0,62845.0,0.1925,0.6043,0.75,0.0,43.35741,-91.76494
Maharishi International University,Fairfield,IA,52557,"High-Risk, High-Aid Institutions",16530.0,16530.0,28730.0,0.5521,0.6432,0.1765,0.0,41.02026,-91.96653
Mercy College of Health Sciences,Des Moines,IA,50309,"High-Risk, High-Aid Institutions",17328.0,17328.0,30844.0,0.3388,0.6381,0.4857,0.0,41.58448,-93.62152
Morningside University,Sioux City,IA,51106,"High-Risk, High-Aid Institutions",38190.0,38190.0,50429.0,0.3153,0.688,0.5284,0.0,42.46292,-96.32
Mount Mercy University,Cedar Rapids,IA,52402,"Elite, Low-Aid Institutions",39070.0,39070.0,52436.0,0.2589,0.5696,0.5588,0.0,42.02272,-91.66001
Ashford University,San Diego,CA,92123,"Middle-Tier, Mixed-Aid Institutions",13160.0,13160.0,30866.0,0.3114,0.3576,0.0877,0.0,32.80958,-117.13419
University of Northern Iowa,Cedar Falls,IA,50614,"Middle-Tier, Mixed-Aid Institutions",9728.0,21272.0,21627.0,0.238,0.4381,0.6894,0.0,,
Northwestern College,Orange City,IA,51041,"Elite, Low-Aid Institutions",35300.0,35300.0,48447.0,0.2274,0.5418,0.6357,0.0,43.02443,-96.07701
Saint Ambrose University,Davenport,IA,52803,"Elite, Low-Aid Institutions",35598.0,35598.0,50018.0,0.279,0.6667,0.6285,0.0,41.53871,-90.55623
St Luke's College,Sioux City,IA,51104,"High-Risk, High-Aid Institutions",20940.0,20940.0,27391.0,0.4643,0.648,0.3333,0.0,42.53518,-96.40389
Simpson College,Indianola,IA,50125,"Elite, Low-Aid Institutions",46212.0,46212.0,58937.0,0.3265,0.7045,0.6566,0.0,41.33286,-93.57957
Upper Iowa University,Fayette,IA,52142,"High-Risk, High-Aid Institutions",19000.0,19000.0,48422.0,0.3252,0.4901,0.4147,0.0,42.82752,-91.79441
Waldorf University,Forest City,IA,50436,"Middle-Tier, Mixed-Aid Institutions",25220.0,25220.0,38035.0,0.339,0.3865,0.2897,0.0,43.26256,-93.66242
Wartburg College,Waverly,IA,50677,"Elite, Low-Aid Institutions",51040.0,51040.0,61832.0,0.2147,0.6399,0.6682,0.0,42.76363,-92.43775
William Penn University,Oskaloosa,IA,52577,"High-Risk, High-Aid Institutions",28750.0,28750.0,40749.0,0.4558,0.8818,0.2924,0.0,41.27174,-92.6602
Baker University,Baldwin City,KS,66006,"Elite, Low-Aid Institutions",33900.0,33900.0,48117.0,0.2386,0.4407,0.5938,0.0,38.79433,-95.23936
Benedictine College,Atchison,KS,66002,"Elite, Low-Aid Institutions",34800.0,34800.0,50820.0,0.1621,0.63,0.6507,0.0,39.5488,-95.13881
Bethany College,Lindsborg,KS,67456,"High-Risk, High-Aid Institutions",31946.0,31946.0,52396.0,0.4328,0.6828,0.2867,0.0,38.5949,-97.6769
Bethany College,Lindsborg,KS,67456,"High-Risk, High-Aid Institutions",31946.0,31946.0,52396.0,0.4328,0.6828,0.2867,0.0,38.5949,-97.6769
Bethel College-North Newton,North Newton,KS,67117,"High-Risk, High-Aid Institutions",34002.0,34002.0,47672.0,0.3879,0.7071,0.4309,0.0,38.07416,-97.34544
Central Christian College of Kansas,McPherson,KS,67460,"High-Risk, High-Aid Institutions",21000.0,21000.0,32495.0,0.4311,0.6007,0.2303,0.0,38.38431,-97.69719
Donnelly College,Kansas City,KS,66102,"Middle-Tier, Mixed-Aid Institutions",10350.0,10350.0,22227.0,0.6313,0.1816,0.38,0.0,39.11246,-94.68842
Emporia State University,Emporia,KS,66801,"High-Risk, High-Aid Institutions",7356.0,15669.0,20527.0,0.3401,0.6062,0.543,0.0,38.41105,-96.2221
Fort Hays State University,Hays,KS,67601,"Middle-Tier, Mixed-Aid Institutions",5633.0,16811.0,19114.0,0.2227,0.27,0.4785,0.0,38.873,-99.34032
Barclay College,Haviland,KS,67059,"High-Risk, High-Aid Institutions",26590.0,26590.0,40190.0,0.6513,0.6184,0.5517,0.0,37.65102,-99.10046
Friends University,Wichita,KS,67213,"Elite, Low-Aid Institutions",32748.0,32748.0,44401.0,0.3365,0.5,0.6149,0.0,37.66722,-97.36498
Hesston College,Hesston,KS,67062,"High-Risk, High-Aid Institutions",31368.0,31368.0,44939.0,0.3025,0.7716,0.5741,0.0,38.1431,-97.43296
Kansas Christian College,Overland Park,KS,66204,"High-Risk, High-Aid Institutions",10950.0,10950.0,21889.0,0.5798,0.6117,0.2857,0.0,38.99282,-94.67741
University of Kansas,Lawrence,KS,66045,"Middle-Tier, Mixed-Aid Institutions",11700.0,29412.0,25215.0,0.1953,0.3736,0.6879,0.0,38.95408,-95.26078
Newman University,Wichita,KS,67213,"Elite, Low-Aid Institutions",35500.0,35500.0,44081.0,0.124,0.18,0.5377,0.0,37.66722,-97.36498
Kansas State University,Manhattan,KS,66506,"Middle-Tier, Mixed-Aid Institutions",10942.0,27816.0,25441.0,0.1934,0.3664,0.7047,0.0,39.19596,-96.58148
Kansas Wesleyan University,Salina,KS,67401,"High-Risk, High-Aid Institutions",33470.0,33470.0,45683.0,0.4083,0.7358,0.3846,0.0,38.83554,-97.64621
Manhattan Christian College,Manhattan,KS,66502,"High-Risk, High-Aid Institutions",18424.0,18424.0,34318.0,0.4483,0.6345,0.5479,0.0,39.14146,-96.52906
McPherson College,McPherson,KS,67460,"High-Risk, High-Aid Institutions",35162.0,35162.0,48404.0,0.3362,0.6356,0.52,0.0,38.38431,-97.69719
MidAmerica Nazarene University,Olathe,KS,66062,"Elite, Low-Aid Institutions",36120.0,36120.0,53495.0,0.2847,0.5306,0.4615,0.0,38.83677,-94.78455
Ottawa University-Ottawa,Ottawa,KS,66067,"High-Risk, High-Aid Institutions",35300.0,35300.0,51340.0,0.3529,0.8535,0.2872,0.0,38.61877,-95.27566
Pittsburg State University,Pittsburg,KS,66762,"Middle-Tier, Mixed-Aid Institutions",8008.0,19692.0,22426.0,0.3226,0.4451,0.5758,0.0,37.39443,-94.71092
University of Saint Mary,Leavenworth,KS,66048,"High-Risk, High-Aid Institutions",33890.0,33890.0,45313.0,0.3688,0.7353,0.4406,0.0,39.27891,-94.98527
Southwestern College,Winfield,KS,67156,"High-Risk, High-Aid Institutions",38480.0,38480.0,53677.0,0.3946,0.4892,0.3351,0.0,37.25099,-96.96503
Sterling College,Sterling,KS,67579,"High-Risk, High-Aid Institutions",32200.0,32200.0,44836.0,0.3167,0.4971,0.2903,0.0,38.18615,-98.20861
Sterling College,Sterling,KS,67579,"Middle-Tier, Mixed-Aid Institutions",32200.0,32200.0,44836.0,0.3167,0.4971,0.2903,0.0,38.18615,-98.20861
Tabor College,Hillsboro,KS,67063,"High-Risk, High-Aid Institutions",35050.0,35050.0,48360.0,0.3783,0.5744,0.3289,0.0,38.34244,-97.23019
Washburn University,Topeka,KS,66621,"Middle-Tier, Mixed-Aid Institutions",9578.0,20582.0,20949.0,0.3052,0.3467,0.5263,0.0,39.03313,-95.70237
Wichita State University,Wichita,KS,67260,"Middle-Tier, Mixed-Aid Institutions",9322.0,19240.0,21064.0,0.2973,0.3488,0.5143,0.0,37.71931,-97.2935
Alice Lloyd College,Pippa Passes,KY,41844,"High-Risk, High-Aid Institutions",14080.0,14080.0,30294.0,0.5565,0.4846,0.2636,0.0,37.32916,-82.8643
Asbury University,Wilmore,KY,40390,"Elite, Low-Aid Institutions",33640.0,33640.0,46209.0,0.2631,0.4284,0.65,0.0,37.85407,-84.67075
Bellarmine University,Louisville,KY,40205,"Elite, Low-Aid Institutions",47180.0,47180.0,60247.0,0.2501,0.5237,0.6775,0.0,38.22313,-85.68275
Berea College,Berea,KY,40404,"High-Risk, High-Aid Institutions",49326.0,49326.0,56068.0,0.8101,0.1201,0.6204,0.0,37.57311,-84.29037
Brescia University,Owensboro,KY,42301,"High-Risk, High-Aid Institutions",30450.0,30450.0,41865.0,0.4283,0.5681,0.4597,0.0,37.73983,-87.24643
Campbellsville University,Campbellsville,KY,42718,"Middle-Tier, Mixed-Aid Institutions",26990.0,26990.0,40924.0,0.2154,0.2068,0.4713,0.0,37.38994,-85.37561
Centre College,Danville,KY,40422,"Elite, Low-Aid Institutions",50550.0,50550.0,63354.0,0.2122,0.4473,0.8529,0.0,37.64235,-84.80488
University of the Cumberlands,Williamsburg,KY,40769,"High-Risk, High-Aid Institutions",9875.0,9875.0,24654.0,0.4848,0.6916,0.4624,0.0,36.7116,-84.17284
Eastern Kentucky University,Richmond,KY,40475,"Middle-Tier, Mixed-Aid Institutions",10130.0,20820.0,22265.0,0.3861,0.4277,0.4974,0.0,37.7635,-84.30828
Georgetown College,Georgetown,KY,40324,"Elite, Low-Aid Institutions",42010.0,42010.0,56297.0,0.3439,0.528,0.4754,0.0,38.24786,-84.54956
American National University-Pikeville,Pikeville,KY,41501,"High-Risk, High-Aid Institutions",11484.0,11484.0,21504.0,0.8017,0.8354,0.5,0.0,37.50805,-82.5154
Kentucky Mountain Bible College,Jackson,KY,41339,"Middle-Tier, Mixed-Aid Institutions",10060.0,10060.0,16490.0,0.5513,0.359,0.3571,0.018,37.53158,-83.29231
Kentucky State University,Frankfort,KY,40601,"High-Risk, High-Aid Institutions",9214.0,13260.0,21023.0,0.5652,0.5503,0.2714,0.0,38.23294,-84.88327
Kentucky Wesleyan College,Owensboro,KY,42301,"High-Risk, High-Aid Institutions",33393.0,33393.0,43981.0,0.4157,0.5166,0.526,0.0,37.73983,-87.24643
University of Kentucky,Lexington,KY,40506,"Elite, Low-Aid Institutions",13212.0,33406.0,32291.0,0.215,0.348,0.6993,0.0,,
Kentucky Christian University,Grayson,KY,41143,"High-Risk, High-Aid Institutions",25000.0,25000.0,38893.0,0.3704,0.5926,0.3377,0.0,38.33916,-82.97704
Lindsey Wilson College,Columbia,KY,42728,"High-Risk, High-Aid Institutions",27274.0,27274.0,39568.0,0.4988,0.5023,0.3808,0.0,37.10943,-85.28873
University of Louisville,Louisville,KY,40292,"Middle-Tier, Mixed-Aid Institutions",12828.0,29174.0,30843.0,0.288,0.2852,0.6068,0.0,,
Midway University,Midway,KY,40347,"High-Risk, High-Aid Institutions",26080.0,26080.0,41400.0,0.4613,0.6234,0.4638,0.0,38.15794,-84.71915
Morehead State University,Morehead,KY,40351,"Middle-Tier, Mixed-Aid Institutions",9838.0,14706.0,22758.0,0.2873,0.3428,0.4769,0.0,38.19817,-83.4133
Murray State University,Murray,KY,42071,"Middle-Tier, Mixed-Aid Institutions",9708.0,19452.0,21475.0,0.3135,0.3663,0.5953,0.0,36.62139,-88.28291
Northern Kentucky University,Highland Heights,KY,41099,"Middle-Tier, Mixed-Aid Institutions",10896.0,21480.0,19471.0,0.2355,0.3091,0.4828,0.0,,
University of Pikeville,Pikeville,KY,41501,"High-Risk, High-Aid Institutions",24150.0,24150.0,33271.0,0.397,0.6673,0.3907,0.0,37.50805,-82.5154
Spalding University,Louisville,KY,40203,"High-Risk, High-Aid Institutions",27850.0,27850.0,43474.0,0.3559,0.5737,0.5732,0.0,38.24722,-85.765
Sullivan University,Louisville,KY,40205,"Middle-Tier, Mixed-Aid Institutions",14220.0,14220.0,31100.0,0.1133,0.1518,0.3018,0.0,38.22313,-85.68275
Thomas More University,Crestview Hills,KY,41017,"High-Risk, High-Aid Institutions",38400.0,38400.0,46342.0,0.2247,0.597,0.4011,0.0,39.02893,-84.56177
Transylvania University,Lexington,KY,40508,"Elite, Low-Aid Institutions",44980.0,44980.0,58863.0,0.2405,0.4995,0.6975,0.0,38.05004,-84.50018
Union College,Barbourville,KY,40906,"High-Risk, High-Aid Institutions",30946.0,30946.0,44375.0,0.5062,0.6483,0.3603,0.0,36.88828,-83.87546
Union College,Barbourville,KY,40906,"Elite, Low-Aid Institutions",30946.0,30946.0,44375.0,0.5062,0.6483,0.3603,0.0,36.88828,-83.87546
Western Kentucky University,Bowling Green,KY,42101,"Middle-Tier, Mixed-Aid Institutions",11436.0,27000.0,23520.0,0.2871,0.3625,0.5367,0.0,37.06552,-86.47809
Centenary College of Louisiana,Shreveport,LA,71104,"Elite, Low-Aid Institutions",40000.0,40000.0,57929.0,0.3891,0.6748,0.593,0.0,32.48525,-93.73171
Dillard University,New Orleans,LA,70122,"High-Risk, High-Aid Institutions",22194.0,22194.0,36057.0,0.6781,0.9297,0.451,0.0,30.00835,-90.06467
Grambling State University,Grambling,LA,71245,"High-Risk, High-Aid Institutions",7683.0,16706.0,25100.0,0.7217,0.7709,0.3234,0.0,32.52697,-92.7145
Louisiana State University-Alexandria,Alexandria,LA,71302,"Middle-Tier, Mixed-Aid Institutions",7050.0,14650.0,15540.0,0.3563,0.3856,0.3552,0.0,31.2053,-92.36667
Louisiana State University and Agricultural & Mechanical College,Baton Rouge,LA,70803,"Elite, Low-Aid Institutions",11954.0,28631.0,34328.0,0.2565,0.2956,0.7096,0.0,30.41165,-91.17783
Louisiana State University-Shreveport,Shreveport,LA,71115,"Middle-Tier, Mixed-Aid Institutions",7327.0,20481.0,19233.0,0.3781,0.3164,0.3321,0.0,32.26472,-93.56247
Louisiana Christian University,Pineville,LA,71359,"High-Risk, High-Aid Institutions",19740.0,19740.0,30564.0,0.4075,0.595,0.4128,0.0,31.32468,-92.4264
Louisiana Tech University,Ruston,LA,71272,"Middle-Tier, Mixed-Aid Institutions",10125.0,16866.0,24405.0,0.205,0.2865,0.5762,0.0,32.52928,-92.6517
Loyola University New Orleans,New Orleans,LA,70118,"Elite, Low-Aid Institutions",47240.0,47240.0,61837.0,0.3721,0.5375,0.6742,0.0,29.9451,-90.1257
McNeese State University,Lake Charles,LA,70605,"Middle-Tier, Mixed-Aid Institutions",8460.0,9960.0,21168.0,0.3112,0.3091,0.5201,0.0,30.13048,-93.27418
University of New Orleans,New Orleans,LA,70148,"Middle-Tier, Mixed-Aid Institutions",9172.0,14008.0,22605.0,0.4044,0.2819,0.4251,0.0,30.0287,-90.06753
Nicholls State University,Thibodaux,LA,70310,"Middle-Tier, Mixed-Aid Institutions",8173.0,9266.0,21519.0,0.3498,0.4306,0.5429,0.0,29.79048,-90.80301
University of Louisiana at Monroe,Monroe,LA,71209,"Middle-Tier, Mixed-Aid Institutions",9190.0,21290.0,23552.0,0.3341,0.3474,0.506,0.0,32.53036,-92.07206
Northwestern State University of Louisiana,Natchitoches,LA,71497,"Middle-Tier, Mixed-Aid Institutions",8864.0,19652.0,24496.0,0.3488,0.3668,0.4463,0.0,31.74902,-93.09795
University of Holy Cross,New Orleans,LA,70131,"Middle-Tier, Mixed-Aid Institutions",16160.0,16160.0,28380.0,0.2842,0.3579,0.3582,0.0,29.9081,-89.96044
Franciscan Missionaries of Our Lady University,Baton Rouge,LA,70808,"Middle-Tier, Mixed-Aid Institutions",15690.0,15690.0,27314.0,0.3575,0.4853,0.5132,0.0,30.4057,-91.14236
Saint Joseph Seminary College,St. Benedict,LA,70457,"Middle-Tier, Mixed-Aid Institutions",26770.0,26770.0,43395.0,0.0748,0.028,0.4,0.0,30.52743,-90.11332
Southeastern Louisiana University,Hammond,LA,70402,"Middle-Tier, Mixed-Aid Institutions",8373.0,20851.0,22647.0,0.33,0.3437,0.448,0.0,30.51652,-90.46932
Southern University and A & M College,Baton Rouge,LA,70813,"High-Risk, High-Aid Institutions",9940.0,17198.0,26076.0,0.6458,0.701,0.2845,0.0,30.52777,-91.19742
Southern University at New Orleans,New Orleans,LA,70126,"Middle-Tier, Mixed-Aid Institutions",7490.0,16390.0,20893.0,0.4458,0.378,0.1786,0.0,30.01948,-90.01739
University of Louisiana at Lafayette,Lafayette,LA,70503,"Middle-Tier, Mixed-Aid Institutions",10418.0,24146.0,24631.0,0.3877,0.4359,0.52,0.0,30.17353,-92.05901
Tulane University of Louisiana,New Orleans,LA,70118,"Elite, Low-Aid Institutions",65538.0,65538.0,83761.0,0.0928,0.2092,0.8891,0.0,29.9451,-90.1257
Xavier University of Louisiana,New Orleans,LA,70125,"High-Risk, High-Aid Institutions",27868.0,27868.0,39183.0,0.5171,0.5464,0.5021,0.0,29.95202,-90.10338
College of the Atlantic,Bar Harbor,ME,04609,"Elite, Low-Aid Institutions",46179.0,46179.0,56334.0,0.2653,0.4987,0.6923,0.0,44.38518,-68.27108
Bates College,Lewiston,ME,04240,"Elite, Low-Aid Institutions",63478.0,63478.0,80440.0,0.1022,0.1503,0.9059,0.0,44.09147,-70.16808
Bowdoin College,Brunswick,ME,04011,"Elite, Low-Aid Institutions",64910.0,64910.0,80390.0,0.1614,0.1023,0.956,0.0,43.90068,-69.97607
Maine College of Health Professions,Lewiston,ME,04240,"High-Risk, High-Aid Institutions",17827.0,17827.0,20438.0,0.5148,0.8776,0.8333,0.0,44.09147,-70.16808
Colby College,Waterville,ME,04901,"Elite, Low-Aid Institutions",66600.0,66600.0,81550.0,0.1318,0.087,0.9022,0.0,44.55449,-69.57037
University of Maine at Augusta,Augusta,ME,04330,"Middle-Tier, Mixed-Aid Institutions",8618.0,21548.0,18813.0,0.3196,0.2847,0.2328,0.0,44.36387,-69.73729
University of Maine at Farmington,Farmington,ME,04938,"Middle-Tier, Mixed-Aid Institutions",10989.0,23079.0,24103.0,0.3248,0.448,0.5275,0.0,44.65881,-70.10329
University of Maine at Fort Kent,Fort Kent,ME,04743,"Middle-Tier, Mixed-Aid Institutions",9045.0,14325.0,18532.0,0.139,0.2085,0.3984,0.0,47.15427,-68.72512
University of Maine,Orono,ME,04469,"Middle-Tier, Mixed-Aid Institutions",12606.0,35346.0,26418.0,0.2196,0.4284,0.5643,0.0,44.90251,-68.66624
Maine Maritime Academy,Castine,ME,04420,"High-Risk, High-Aid Institutions",14746.0,30226.0,30166.0,0.2472,0.6595,0.6141,0.0,,
University of Maine at Presque Isle,Presque Isle,ME,04769,"Middle-Tier, Mixed-Aid Institutions",8990.0,14270.0,18663.0,0.2559,0.2537,0.3766,0.0,46.68676,-67.98737
University of New England,Biddeford,ME,04005,"Elite, Low-Aid Institutions",42550.0,42550.0,60706.0,0.1189,0.5315,0.6083,0.0,43.49591,-70.49537
Maine College of Art & Design,Portland,ME,04101,"Elite, Low-Aid Institutions",41398.0,41398.0,57027.0,0.2658,0.7079,0.4874,0.0,43.6624,-70.2586
Saint Joseph's College of Maine,Standish,ME,04084,"Elite, Low-Aid Institutions",42834.0,42834.0,58452.0,0.201,0.597,0.6855,0.0,43.76637,-70.55893
University of Southern Maine,Portland,ME,04103,"Middle-Tier, Mixed-Aid Institutions",10920.0,27104.0,21381.0,0.2628,0.3406,0.4634,0.0,43.69392,-70.2909
Thomas College,Waterville,ME,04901,"Elite, Low-Aid Institutions",30896.0,30896.0,43757.0,0.1534,0.3395,0.5136,0.0,44.55449,-69.57037
Unity Environmental University,New Gloucester,ME,04260,"High-Risk, High-Aid Institutions",12640.0,12640.0,20915.0,0.5925,0.5157,0.5698,0.0,43.96409,-70.29589
University of Baltimore,Baltimore,MD,21201,"Middle-Tier, Mixed-Aid Institutions",9772.0,23490.0,27477.0,0.4317,0.3996,0.4673,0.0,39.29487,-76.62237
Bowie State University,Bowie,MD,20715,"Middle-Tier, Mixed-Aid Institutions",8999.0,19889.0,24302.0,0.439,0.4087,0.3814,0.0,38.98643,-76.73967
Capitol Technology University,Laurel,MD,20708,"High-Risk, High-Aid Institutions",27318.0,27318.0,40900.0,0.3523,0.6611,0.4667,0.0,39.04546,-76.83462
Washington Adventist University,Takoma Park,MD,20912,"High-Risk, High-Aid Institutions",25200.0,25200.0,34570.0,0.4605,0.5412,0.4,0.0,38.98182,-77.00106
Coppin State University,Baltimore,MD,21216,"Middle-Tier, Mixed-Aid Institutions",7001.0,13789.0,20152.0,0.5304,0.4183,0.2559,0.0,39.3108,-76.67145
Frostburg State University,Frostburg,MD,21532,"Middle-Tier, Mixed-Aid Institutions",9998.0,25180.0,26500.0,0.3285,0.3779,0.5207,0.0,39.65559,-78.96025
Goucher College,Baltimore,MD,21204,"Elite, Low-Aid Institutions",51250.0,51250.0,68893.0,0.3123,0.5115,0.6,0.0,39.40353,-76.63024
Hood College,Frederick,MD,21701,"Elite, Low-Aid Institutions",45870.0,45870.0,59174.0,0.3627,0.6373,0.5529,0.0,39.44729,-77.33512
